rank,window_id,a,b,on,off,duration
1,X008671,Satellite127,Satellite2508,798.613,6116.419,5317.806
2,X019903,Satellite152,Satellite2803,2960.863,8385.934,5425.071
3,X016353,Satellite144,Satellite2706,7512.348,13227.512,5715.164000000001
4,X017358,Satellite146,Satellite2709,11959.863,17663.315,5703.451999999999
5,X018334,Satellite148,Satellite2702,16403.636,22099.452,5695.8160000000025
6,X015364,Satellite142,Satellite2706,20210.744,25902.162,5691.4180000000015
7,X017339,Satellite146,Satellite2701,23382.413,29071.33,5688.917000000001
8,X018340,Satellite148,Satellite2704,27821.69,33508.599,5686.909000000003
9,X016841,Satellite145,Satellite2701,30871.33,35410.457,4539.127
10,X017844,Satellite147,Satellite2704,35308.599,39848.604,4540.004999999997
11,X019399,Satellite151,Satellite2808,37755.508,43200.0,5444.491999999998
