rank,window_id,a,b,on,off,duration
1,X008117,Satellite126,Satellite2507,1432.198,6748.828,5316.63
2,X019903,Satellite152,Satellite2803,2960.863,8385.934,5425.071
3,X016854,Satellite145,Satellite2707,6876.517,12593.853,5717.335999999999
4,X016353,Satellite144,Satellite2706,7512.348,13227.512,5715.164000000001
5,X020959,Satellite154,Satellite2807,13081.965,18521.672,5439.7069999999985
6,X014864,Satellite141,Satellite2704,15134.263,20831.95,5697.687
7,X015364,Satellite142,Satellite2706,20210.744,25902.162,5691.4180000000015
8,X018337,Satellite148,Satellite2703,22113.832,27803.633,5689.801000000003
9,X018838,Satellite149,Satellite2705,27187.57,32874.668,5687.097999999998
10,X016841,Satellite145,Satellite2701,29723.926,35410.457,5686.531000000003
11,X017345,Satellite146,Satellite2703,34795.828,40482.684,5686.856
12,X011342,Satellite133,Satellite2610,37071.355,42634.055,5562.699999999997
