rank,window_id,a,b,on,off,duration
1,X008671,Satellite127,Satellite2508,798.613,6116.419,5317.806
2,X008117,Satellite126,Satellite2507,1432.198,6748.828,5316.63
3,X016854,Satellite145,Satellite2707,6876.517,12593.853,5717.335999999999
4,X015855,Satellite143,Satellite2705,8148.041,13861.18,5713.139
5,X020959,Satellite154,Satellite2807,13081.965,18521.672,5439.7069999999985
6,X019909,Satellite152,Satellite2805,14347.165,19788.726,5441.560999999998
7,X010832,Satellite132,Satellite2605,14868.561,20478.455,5609.894000000002
8,X015364,Satellite142,Satellite2706,20210.744,25902.162,5691.4180000000015
9,X017838,Satellite147,Satellite2702,22748.137,28437.477,5689.34
10,X013326,Satellite137,Satellite2602,23119.001,28707.792,5588.791000000001
11,X016841,Satellite145,Satellite2701,29723.926,35410.457,5686.531000000003
12,X012325,Satellite135,Satellite2601,30096.329,35670.972,5574.643
13,X012831,Satellite136,Satellite2603,35169.263,40735.043,5565.779999999999
14,X011342,Satellite133,Satellite2610,37071.355,42634.055,5562.699999999997
