rank,window_id,a,b,on,off,duration
1,X008117,Satellite126,Satellite2507,1432.198,6748.828,5316.63
2,X009226,Satellite128,Satellite2510,5867.083,11175.624,5308.541
3,X009758,Satellite129,Satellite2502,10935.105,16234.64,5299.535
4,X015361,Satellite142,Satellite2705,14499.5,20198.206,5698.705999999998
5,X015861,Satellite143,Satellite2707,19576.32,25268.354,5692.034
6,X018337,Satellite148,Satellite2703,22113.832,27803.633,5689.801000000003
7,X018838,Satellite149,Satellite2705,27187.57,32874.668,5687.097999999998
8,X011843,Satellite134,Satellite2610,30730.506,36303.985,5573.478999999999
9,X013332,Satellite137,Satellite2604,34535.203,40102.037,5566.833999999995
10,X017847,Satellite147,Satellite2705,39866.855,43200.0,3333.144999999997
