task_id,src,dst,arrival,deadline,data,weight,max_rate,remaining_end,completion_ratio,completion_tolerance,completed
L60_001,Satellite126,Satellite2507,900.0,4860.0,470881.0,3.0,277.8,0.0,1.0,0.470881,1
L60_002,Satellite152,Satellite2803,1320.0,5520.0,487344.0,3.0,269.8,0.0,1.0,0.487344,1
L60_003,Satellite154,Satellite2807,1920.0,5820.0,395366.4,2.0,225.2,0.0,1.0,0.3953664,1
L60_004,Satellite126,Satellite2507,2100.0,6720.0,449856.0,2.0,216.6,0.0,1.0,0.449856,1
L60_005,Satellite134,Satellite2508,2700.0,7860.0,461260.8,2.0,197.1,0.0,1.0,0.46126079999999997,1
L60_006,Satellite154,Satellite2807,3120.0,8940.0,484704.0,1.0,174.4,0.0,1.0,0.48470399999999997,1
L60_007,Satellite126,Satellite2507,3300.0,7920.0,353511.8,1.0,161.2,0.0,1.0,0.3535118,1
L60_008,Satellite152,Satellite2803,3720.0,8880.0,345945.6,1.0,140.0,0.0,1.0,0.34594559999999996,1
L60_009,Satellite134,Satellite2508,3900.0,10380.0,633600.0,3.0,228.0,0.0,1.0,0.6335999999999999,1
L60_010,Satellite154,Satellite2807,4320.0,11460.0,606936.0,2.0,188.6,0.0,1.0,0.6069359999999999,1
L60_011,Satellite136,Satellite2706,8100.0,12060.0,494714.9,3.0,291.8,0.0,1.0,0.4947149,1
L60_012,Satellite144,Satellite2507,8520.0,12720.0,511711.2,3.0,283.3,0.0,1.0,0.5117112,1
L60_013,Satellite154,Satellite2807,9120.0,13020.0,415008.0,2.0,236.5,0.0,1.0,0.415008,1
L60_014,Satellite136,Satellite2706,9300.0,13920.0,472348.8,2.0,227.4,0.0,1.0,0.47234879999999996,1
L60_015,Satellite143,Satellite2805,9900.0,15060.0,484492.8,2.0,207.0,0.0,1.0,0.48449279999999995,1
L60_016,Satellite154,Satellite2807,10320.0,16140.0,508939.2,1.0,183.2,0.0,1.0,0.5089392,1
L60_017,Satellite136,Satellite2706,10500.0,15120.0,371131.2,1.0,169.3,0.0,1.0,0.3711312,1
L60_018,Satellite144,Satellite2507,10920.0,16080.0,363264.0,1.0,147.1,0.0,1.0,0.363264,1
L60_019,Satellite143,Satellite2805,11100.0,17580.0,665280.0,3.0,239.4,0.0,1.0,0.66528,1
L60_020,Satellite154,Satellite2807,11520.0,18660.0,637718.4,2.0,198.2,0.0,1.0,0.6377184,1
L60_021,Satellite141,Satellite2705,15300.0,19260.0,541738.6,3.0,319.6,0.0,1.0,0.5417386,1
L60_022,Satellite147,Satellite2702,15720.0,19920.0,560445.6,3.0,310.3,0.0,1.0,0.5604456,1
L60_023,Satellite154,Satellite2804,16320.0,20220.0,454608.0,2.0,259.0,0.0,1.0,0.45460799999999996,1
L60_024,Satellite141,Satellite2705,16500.0,21120.0,517334.4,2.0,249.1,0.0,1.0,0.5173344,1
L60_025,Satellite147,Satellite2702,16920.0,20460.0,451862.4,2.0,280.8,0.0,1.0,0.4518624,1
L60_026,Satellite143,Satellite2706,17100.0,22260.0,530534.4,2.0,226.7,0.0,1.0,0.5305344,1
L60_027,Satellite141,Satellite2705,17700.0,22320.0,406369.9,1.0,185.3,0.0,1.0,0.4063699,1
L60_028,Satellite147,Satellite2702,18120.0,23280.0,397900.8,1.0,161.1,0.0,1.0,0.39790079999999994,1
L60_029,Satellite143,Satellite2706,18300.0,24780.0,728640.0,3.0,262.2,0.0,1.0,0.72864,1
L60_030,Satellite154,Satellite2804,18720.0,25860.0,698121.6,2.0,217.0,0.0,1.0,0.6981215999999999,1
L60_031,Satellite136,Satellite2701,22500.0,26460.0,555910.1,3.0,327.9,0.0,1.0,0.5559101,1
L60_032,Satellite147,Satellite2705,22920.0,27120.0,575203.2,3.0,318.4,0.0,1.0,0.5752031999999999,1
L60_033,Satellite149,Satellite2706,23520.0,27420.0,466646.4,2.0,265.9,0.0,1.0,0.4666464,1
L60_034,Satellite136,Satellite2701,23700.0,28320.0,530830.1,2.0,255.5,0.0,1.0,0.5308301,1
L60_035,Satellite147,Satellite2705,24120.0,27660.0,463768.8,2.0,288.2,0.0,1.0,0.4637688,1
L60_036,Satellite149,Satellite2706,24120.0,30600.0,471398.4,1.0,205.9,0.0,1.0,0.4713984,1
L60_037,Satellite141,Satellite2702,24300.0,29460.0,544473.6,2.0,232.7,0.0,1.0,0.5444736,1
L60_038,Satellite147,Satellite2705,25020.0,30540.0,390297.6,1.0,165.2,0.0,1.0,0.39029759999999997,1
L60_039,Satellite141,Satellite2702,25500.0,31980.0,747648.0,3.0,269.0,9.094947017729282e-13,1.0,0.747648,1
L60_040,Satellite149,Satellite2706,25920.0,33060.0,716707.2,2.0,222.8,0.0,1.0,0.7167071999999999,1
L60_041,Satellite134,Satellite2601,29700.0,33660.0,536907.4,3.0,316.7,4.547473508864641e-13,1.0,0.5369074,1
L60_042,Satellite147,Satellite2704,30120.0,34320.0,555640.8,3.0,307.6,0.0,1.0,0.5556408,1
L60_043,Satellite136,Satellite2701,30300.0,33540.0,508992.0,3.0,366.3,0.0,1.0,0.508992,1
L60_044,Satellite149,Satellite2705,30720.0,34620.0,450806.4,2.0,256.9,0.0,1.0,0.4508064,1
L60_045,Satellite134,Satellite2601,30900.0,35520.0,512835.8,2.0,246.9,0.0,1.0,0.5128358,1
L60_046,Satellite136,Satellite2701,31500.0,36660.0,525888.0,2.0,224.7,0.0,1.0,0.525888,1
L60_047,Satellite134,Satellite2601,32100.0,36720.0,402996.0,1.0,183.8,0.0,1.0,0.40299599999999997,1
L60_048,Satellite147,Satellite2704,32520.0,37680.0,394521.6,1.0,159.7,0.0,1.0,0.3945216,1
L60_049,Satellite136,Satellite2701,32700.0,39180.0,722304.0,3.0,259.9,0.0,1.0,0.722304,1
L60_050,Satellite149,Satellite2705,33120.0,40260.0,692313.6,2.0,215.2,0.0,1.0,0.6923136,1
L60_051,Satellite126,Satellite2604,36300.0,42780.0,570240.0,3.0,205.2,0.0,1.0,0.57024,1
L60_052,Satellite147,Satellite2705,36720.0,42420.0,487872.0,2.0,169.9,0.0,1.0,0.487872,1
L60_053,Satellite123,Satellite2601,36900.0,40860.0,423857.3,3.0,250.0,0.0,1.0,0.4238573,1
L60_054,Satellite147,Satellite2705,37020.0,42840.0,436233.6,1.0,156.9,0.0,1.0,0.43623359999999994,1
L60_055,Satellite134,Satellite2704,37320.0,41520.0,438609.6,3.0,242.8,0.0,1.0,0.43860959999999993,1
L60_056,Satellite126,Satellite2604,37500.0,40740.0,401808.0,3.0,289.2,0.0,1.0,0.401808,1
L60_057,Satellite126,Satellite2604,37500.0,42660.0,415219.2,2.0,177.5,0.0,1.0,0.4152192,1
L60_058,Satellite123,Satellite2601,38100.0,42720.0,404870.4,2.0,194.9,0.0,1.0,0.4048704,1
L60_059,Satellite123,Satellite2601,38700.0,43200.0,318273.1,1.0,145.2,0.0,1.0,0.3182731,1
L60_060,Satellite134,Satellite2704,39720.0,43200.0,291878.4,1.0,126.1,0.0,1.0,0.29187840000000004,1
